RegionName,year,zhvi,state_name,median_household_income,median_home_value,median_gross_rent,total_occupied_units,owner_occupied_units,renter_occupied_units,total_population,state_fips,homeownership_rate,price_to_income_ratio,MSPUS,MORTGAGE30US,HOUST,CSUSHPINSA,RHORUSQ156N,MSACSR
Maryland,2014,266707.21826682956,Maryland,74149,287500,1218,2155983,1445880,710103,5887776,24,67.1,3.877328082644405,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
Maryland,2016,281297.14504515706,Maryland,76067,290400,1264,2177492,1447783,729709,5959902,24,66.5,3.817687039057673,305125.0,3.6540384615384616,1177.0833333333333,180.89083333333335,63.4,5.208333333333333
Maryland,2018,301700.1818319627,Maryland,81868,305500,1357,2192518,1463941,728577,6003435,24,66.8,3.731616748912884,325275.0,4.544615384615384,1246.8333333333333,202.42791666666668,64.425,6.175
Maryland,2020,326901.7105542319,Maryland,87063,325400,1415,2230527,1495828,734699,6037624,24,67.1,3.7375234025935242,328150.0,3.111698113207547,1394.3333333333333,222.06316666666666,66.6,4.625
Maryland,2022,392780.9956731021,Maryland,98461,380500,1598,2318124,1564056,754068,6161707,24,67.5,3.864474258843603,432950.0,5.344038461538461,1551.5,298.32533333333333,65.775,8.483333333333333
Maryland,2023,401930.27913298056,Maryland,101652,397700,1662,2339510,1578702,760808,6170738,24,67.5,3.912367685830087,426525.0,6.806730769230769,1420.5833333333333,305.7504166666667,65.9,7.875
Massachusetts,2010,305911.47025921656,Massachusetts,64509,352300,1006,2512552,1608474,904078,6477096,25,64.0,5.4612534685082705,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
Massachusetts,2012,288511.1243582775,Massachusetts,66658,335500,1056,2525694,1595959,929735,6560595,25,63.2,5.033154310060308,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
Massachusetts,2014,322815.5391053144,Massachusetts,67846,329900,1088,2538485,1580938,957547,6657291,25,62.3,4.862482681366624,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
Massachusetts,2016,360095.94835243374,Massachusetts,70954,341000,1129,2558889,1588743,970146,6742143,25,62.1,4.805930602925839,305125.0,3.6540384615384616,1177.0833333333333,180.89083333333335,63.4,5.208333333333333
Massachusetts,2018,408131.3407630043,Massachusetts,77378,366800,1225,2601914,1621053,980861,6830193,25,62.3,4.740365478559798,325275.0,4.544615384615384,1246.8333333333333,202.42791666666668,64.425,6.175
Massachusetts,2020,441124.23044056725,Massachusetts,84385,398800,1336,2646980,1654892,992088,6873003,25,62.5,4.725958404929786,328150.0,3.111698113207547,1394.3333333333333,222.06316666666666,66.6,4.625
Massachusetts,2022,554118.3878114171,Massachusetts,96505,483900,1588,2740995,1711341,1029654,6984205,25,62.4,5.01424796642661,432950.0,5.344038461538461,1551.5,298.32533333333333,65.775,8.483333333333333
Massachusetts,2023,575591.7240176544,Massachusetts,101341,525800,1687,2762070,1728986,1033084,6992395,25,62.6,5.188423244294017,426525.0,6.806730769230769,1420.5833333333333,305.7504166666667,65.9,7.875
Michigan,2010,98869.43592720454,Michigan,48432,144200,723,3843997,2852374,991623,9952687,26,74.2,2.9773703336636936,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
Michigan,2012,94313.47497785852,Michigan,48471,128600,755,3818931,2780213,1038718,9897264,26,72.8,2.6531328010563016,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
Michigan,2014,116669.71343256407,Michigan,49087,120200,780,3827880,2738012,1089868,9889024,26,71.5,2.4487135086682827,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
Michigan,2016,133684.00921701072,Michigan,50803,127800,799,3860394,2732051,1128343,9909600,26,70.8,2.5155994724720983,305125.0,3.6540384615384616,1177.0833333333333,180.89083333333335,63.4,5.208333333333333
Michigan,2018,154928.30460548238,Michigan,54938,146200,850,3909509,2777114,1132395,9957488,26,71.0,2.6611816957297316,325275.0,4.544615384615384,1246.8333333333333,202.42791666666668,64.425,6.175
Michigan,2020,175244.53553031327,Michigan,59234,162600,892,3980408,2855485,1124923,9973907,26,71.7,2.745045075463416,328150.0,3.111698113207547,1394.3333333333333,222.06316666666666,66.6,4.625
Michigan,2022,221629.34942567095,Michigan,68505,201100,1037,4009253,2906470,1102783,10057921,26,72.5,2.9355521494781405,432950.0,5.344038461538461,1551.5,298.32533333333333,65.775,8.483333333333333
Michigan,2023,227290.6668601655,Michigan,71149,217600,1084,4040168,2946157,1094011,10051595,26,72.9,3.058370461988222,426525.0,6.806730769230769,1420.5833333333333,305.7504166666667,65.9,7.875
Minnesota,2010,170853.27150626335,Minnesota,57243,206200,759,2085917,1548127,537790,5241914,27,74.2,3.60218716698985,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
